Month,Country,Region,State,Product,Per-Unit Price,Quantity,Order Total
12,USA,Western,OR,Pink Bubble Gum,318,29,9222
8,USA,Southeast,SC,Crocodile Tears,282,4,1128
1,USA,Midwest,MI,Blue Rock Candy,466,20,9320
7,USA,Midwest,IL,Blue Rock Candy,466,31,14446
8,USA,Western,NV,Green Lightning,406,5,2030
12,USA,Southeast,KY,Green Lightning,406,4,1624
8,USA,Eastern,RI,Grey Gummies,399,28,11172
12,USA,Western,HI,Purple Pain,348,1,348
12,USA,Western,WA,Grey Gummies,399,10,3990
11,USA,Midwest,IN,Green Lightning,406,14,5684
9,USA,Western,NV,Yellow Zonkers,258,40,10320
10,USA,Southeast,MO,Nap Be Gone,423,25,10575
2,USA,Eastern,MA,Red Hot Chili Peppers,430,34,14620
9,USA,Midwest,IL,Purple Pain,348,23,8004
4,USA,Western,WA,Crocodile Tears,282,20,5640
12,USA,Midwest,ND,Grey Gummies,399,25,9975
12,USA,Midwest,NE,Nap Be Gone,423,33,13959
4,USA,Southeast,TN,Giant Gummies,424,5,2120
1,USA,Western,ID,Crocodile Tears,282,4,1128
3,USA,Western,OR,Purple Pain,348,13,4524
7,USA,Midwest,OH,Crocodile Tears,282,5,1410
1,USA,Eastern,NH,Yellow Zonkers,258,31,7998
11,USA,Western,AZ,Blue Rock Candy,466,19,8854
7,USA,Western,NM,Green Lightning,406,22,8932
4,USA,Western,UT,Green Lightning,406,24,9744
6,USA,Midwest,NE,Pink Bubble Gum,318,6,1908
1,USA,Southeast,MS,Yellow Zonkers,258,22,5676
5,USA,Southeast,MO,Green Lightning,406,26,10556
1,USA,Southeast,TN,Grey Gummies,399,3,1197
1,USA,Eastern,VT,Red Hot Chili Peppers,430,26,11180
5,USA,Western,NV,Nap Be Gone,423,29,12267
5,USA,Eastern,MD,Giant Gummies,424,33,13992
1,USA,Eastern,FL,Crocodile Tears,282,31,8742
2,USA,Eastern,DE,Pink Bubble Gum,318,30,9540
4,USA,Midwest,NE,Nap Be Gone,423,15,6345
6,USA,Western,CO,Crocodile Tears,282,20,5640
4,USA,Eastern,NJ,Giant Gummies,424,18,7632
10,USA,Southeast,SC,Giant Gummies,424,8,3392
11,USA,Western,UT,Pink Bubble Gum,318,23,7314
10,USA,Eastern,NY,Orange Creepies,452,23,10396
6,USA,Midwest,MI,Blue Rock Candy,466,30,13980
4,USA,Western,UT,Pink Bubble Gum,318,28,8904
1,USA,Western,UT,Panda Gummies,146,20,2920
8,USA,Eastern,RI,Panda Gummies,146,39,5694
4,USA,Eastern,VT,Nap Be Gone,423,28,11844
3,USA,Midwest,SD,Red Hot Chili Peppers,430,19,8170
7,USA,Eastern,VA,Crocodile Tears,282,30,8460
5,USA,Southeast,KY,Blue Rock Candy,466,13,6058
5,USA,Midwest,IL,Green Lightning,406,29,11774
12,USA,Midwest,IN,Crocodile Tears,282,21,5922
8,USA,Eastern,RI,Green Lightning,406,11,4466
11,USA,Eastern,WV,Panda Gummies,146,11,1606
6,USA,Midwest,WI,Grey Gummies,399,36,14364
3,USA,Midwest,WI,Pink Bubble Gum,318,27,8586
3,USA,Western,OR,Red Hot Chili Peppers,430,23,9890
3,USA,Western,HI,Red Hot Chili Peppers,430,38,16340
5,USA,Midwest,IL,Grey Gummies,399,34,13566
4,USA,Midwest,IL,Green Lightning,406,38,15428
9,USA,Southeast,LA,Green Lightning,406,13,5278
12,USA,Southeast,NC,Panda Gummies,146,22,3212
5,USA,Eastern,RI,Nap Be Gone,423,2,846
9,USA,Midwest,IL,Orange Creepies,452,35,15820
11,USA,Western,WA,Nap Be Gone,423,13,5499
1,USA,Western,CO,Grey Gummies,399,5,1995
11,USA,Western,MT,Crocodile Tears,282,16,4512
11,USA,Eastern,ME,Green Lightning,406,2,812
7,USA,Eastern,FL,Nap Be Gone,423,35,14805
10,USA,Southeast,AR,Nap Be Gone,423,26,10998
10,USA,Midwest,MI,Grey Gummies,399,30,11970
10,USA,Western,ID,Crocodile Tears,282,11,3102
12,USA,Eastern,FL,Green Lightning,406,38,15428
