Month,Country,Region,State,Product,Per-Unit Price,Quantity,Order Subtotal,Quantity Discount
11,USA,Western,CO,Nap Be Gone,448,33,14784,0
3,USA,Southeast,MS,Crocodile Tears,290,11,3190,0
6,USA,Eastern,FL,Giant Gummies,428,1,428,0
2,USA,Midwest,OK,Grey Gummies,399,51,20349,2035
12,USA,Eastern,CT,Green Lightning,390,30,11700,0
3,USA,Western,CA,Yellow Zonkers,263,17,4471,0
9,USA,Midwest,MN,Blue Rock Candy,513,51,26163,2616
3,USA,Western,ID,Pink Bubble Gum,324,29,9396,0
5,USA,Midwest,IL,Pink Bubble Gum,324,37,11988,1199
4,USA,Midwest,IL,Grey Gummies,399,41,16359,1636
4,USA,Midwest,NE,Grey Gummies,399,28,11172,0
7,USA,Midwest,MN,Giant Gummies,428,41,17548,1755
11,USA,Southeast,SC,Grey Gummies,399,53,21147,2115
7,USA,Southeast,KY,Crocodile Tears,290,37,10730,1073
11,USA,Eastern,NJ,Purple Pain,369,5,1845,0
5,USA,Western,ID,Nap Be Gone,448,60,26880,2688
8,USA,Western,CO,Purple Pain,369,15,5535,0
3,USA,Western,UT,Orange Creepies,466,56,26096,2610
10,USA,Southeast,MS,Yellow Zonkers,263,27,7101,0
7,USA,Western,CO,Grey Gummies,399,29,11571,0
6,USA,Western,TX,Blue Rock Candy,513,48,24624,2462
8,USA,Western,AZ,Crocodile Tears,290,20,5800,0
11,USA,Midwest,IN,Orange Creepies,466,47,21902,2190
11,USA,Eastern,CT,Orange Creepies,466,22,10252,0
8,USA,Western,ID,Crocodile Tears,290,33,9570,0
11,USA,Midwest,OK,Crocodile Tears,290,60,17400,1740
3,USA,Midwest,OK,Red Hot Chili Peppers,425,58,24650,2465
4,USA,Eastern,NH,Purple Pain,369,24,8856,0
9,USA,Eastern,NJ,Pink Bubble Gum,324,53,17172,1717
12,USA,Southeast,SC,Orange Creepies,466,39,18174,1817
4,USA,Western,CO,Pink Bubble Gum,324,31,10044,0
6,USA,Midwest,IN,Yellow Zonkers,263,17,4471,0
4,USA,Southeast,SC,Yellow Zonkers,263,24,6312,0
10,USA,Eastern,NH,Blue Rock Candy,513,44,22572,2257
1,USA,Eastern,PA,Grey Gummies,399,11,4389,0
1,USA,Western,OR,Pink Bubble Gum,324,1,324,0
4,USA,Eastern,GA,Giant Gummies,428,26,11128,0
4,USA,Midwest,OH,Nap Be Gone,448,51,22848,2285
1,USA,Western,UT,Green Lightning,390,5,1950,0
7,USA,Western,HI,Green Lightning,390,44,17160,1716
12,USA,Midwest,NE,Giant Gummies,428,58,24824,2482
1,USA,Southeast,SC,Purple Pain,369,22,8118,0
10,USA,Western,CA,Grey Gummies,399,29,11571,0
10,USA,Southeast,TN,Pink Bubble Gum,324,33,10692,0
12,USA,Eastern,NJ,Green Lightning,390,24,9360,0
5,USA,Eastern,VA,Orange Creepies,466,32,14912,0
5,USA,Southeast,LA,Crocodile Tears,290,22,6380,0
3,USA,Eastern,VA,Grey Gummies,399,46,18354,1835
3,USA,Midwest,IN,Grey Gummies,399,50,19950,1995
10,USA,Southeast,TN,Panda Gummies,148,1,148,0
8,USA,Western,NV,Yellow Zonkers,263,12,3156,0
1,USA,Midwest,IL,Pink Bubble Gum,324,26,8424,0
7,USA,Western,OR,Giant Gummies,428,34,14552,0
4,USA,Southeast,NC,Green Lightning,390,51,19890,1989
5,USA,Eastern,NH,Grey Gummies,399,33,13167,0
8,USA,Southeast,KY,Panda Gummies,148,55,8140,814
11,USA,Eastern,DE,Red Hot Chili Peppers,425,0,0,0
9,USA,Southeast,MS,Yellow Zonkers,263,40,10520,1052
7,USA,Western,OR,Giant Gummies,428,37,15836,1584
7,USA,Eastern,FL,Panda Gummies,148,60,8880,888
2,USA,Western,HI,Nap Be Gone,448,58,25984,2598
7,USA,Midwest,IN,Yellow Zonkers,263,2,526,0
10,USA,Western,NM,Nap Be Gone,448,8,3584,0
10,USA,Eastern,NY,Purple Pain,369,31,11439,0
6,USA,Western,AK,Grey Gummies,399,9,3591,0
5,USA,Southeast,LA,Grey Gummies,399,13,5187,0
3,USA,Southeast,MS,Giant Gummies,428,31,13268,0
11,USA,Western,HI,Pink Bubble Gum,324,4,1296,0
3,USA,Midwest,WI,Purple Pain,369,20,7380,0
10,USA,Midwest,MI,Panda Gummies,148,2,296,0
5,USA,Southeast,TN,Nap Be Gone,448,13,5824,0
8,USA,Eastern,FL,Giant Gummies,428,36,15408,0
9,USA,Western,HI,Grey Gummies,399,7,2793,0
4,USA,Western,AZ,Crocodile Tears,290,34,9860,0
2,USA,Western,ID,Panda Gummies,148,49,7252,725
8,USA,Western,CA,Green Lightning,390,24,9360,0
7,USA,Western,NV,Giant Gummies,428,0,0,0
9,USA,Eastern,VT,Orange Creepies,466,6,2796,0
10,USA,Southeast,MS,Green Lightning,390,17,6630,0
8,USA,Western,AZ,Crocodile Tears,290,47,13630,1363
1,USA,Eastern,RI,Nap Be Gone,448,16,7168,0
1,USA,Western,MT,Yellow Zonkers,263,57,14991,1499
3,USA,Midwest,IA,Giant Gummies,428,40,17120,1712
2,USA,Midwest,KS,Grey Gummies,399,56,22344,2234
8,USA,Midwest,MI,Grey Gummies,399,57,22743,2274
11,USA,Southeast,NC,Nap Be Gone,448,16,7168,0
10,USA,Western,NV,Grey Gummies,399,44,17556,1756
5,USA,Western,AZ,Pink Bubble Gum,324,22,7128,0
12,USA,Western,HI,Purple Pain,369,22,8118,0
9,USA,Eastern,PA,Yellow Zonkers,263,39,10257,1026
4,USA,Midwest,KS,Blue Rock Candy,513,33,16929,0
6,USA,Eastern,AL,Red Hot Chili Peppers,425,49,20825,2083
4,USA,Eastern,WV,Crocodile Tears,290,13,3770,0
8,USA,Western,AK,Orange Creepies,466,8,3728,0
3,USA,Southeast,LA,Pink Bubble Gum,324,15,4860,0
8,USA,Southeast,NC,Panda Gummies,148,37,5476,548
3,USA,Western,CA,Blue Rock Candy,513,59,30267,3027
5,USA,Midwest,MI,Blue Rock Candy,513,33,16929,0
10,USA,Eastern,VT,Giant Gummies,428,26,11128,0
4,USA,Midwest,MN,Purple Pain,369,3,1107,0
11,USA,Western,CO,Red Hot Chili Peppers,425,52,22100,2210
4,USA,Midwest,MN,Crocodile Tears,290,55,15950,1595
12,USA,Western,MT,Crocodile Tears,290,26,7540,0
8,USA,Midwest,IN,Panda Gummies,148,31,4588,0
1,USA,Midwest,MN,Giant Gummies,428,37,15836,1584
9,USA,Southeast,MO,Nap Be Gone,448,60,26880,2688
4,USA,Western,MT,Green Lightning,390,8,3120,0
6,USA,Eastern,PA,Green Lightning,390,21,8190,0
2,USA,Eastern,DE,Crocodile Tears,290,33,9570,0
12,USA,Western,CA,Pink Bubble Gum,324,9,2916,0
4,USA,Southeast,KY,Purple Pain,369,31,11439,0
12,USA,Midwest,NE,Pink Bubble Gum,324,54,17496,1750
2,USA,Southeast,MO,Red Hot Chili Peppers,425,37,15725,1573
2,USA,Southeast,KY,Green Lightning,390,50,19500,1950
11,USA,Western,AK,Crocodile Tears,290,59,17110,1711
12,USA,Midwest,IA,Giant Gummies,428,50,21400,2140
10,USA,Eastern,MD,Pink Bubble Gum,324,58,18792,1879
2,USA,Midwest,ND,Red Hot Chili Peppers,425,4,1700,0
1,USA,Midwest,OH,Crocodile Tears,290,20,5800,0
3,USA,Eastern,VT,Nap Be Gone,448,17,7616,0
5,USA,Eastern,CT,Blue Rock Candy,513,52,26676,2668
10,USA,Eastern,VT,Giant Gummies,428,5,2140,0
2,USA,Eastern,VT,Orange Creepies,466,7,3262,0
12,USA,Eastern,FL,Giant Gummies,428,58,24824,2482
11,USA,Western,WA,Nap Be Gone,448,54,24192,2419
6,USA,Eastern,AL,Crocodile Tears,290,15,4350,0
